🕘️更新时间,#genre#
2025-10-21 15:56:33,https://jzb.wwkejishe.top/?id=588$订阅源

📺央视频道,#genre#
CCTV-10,https://jzb.wwkejishe.top/?id=588$订阅源
CCTV-10,https://jzb.wwkejishe.top/?id=588$订阅源
CCTV-11,https://jzb.wwkejishe.top/?id=589$订阅源
CCTV-13,http://www.freetv.top/migu/608807423.m3u8?migutoken=d8e7d5104925c13570533f5db2f808b4613be4d2901d3d406a67fca92ee219bc3692dff97d63d38123fde519465b77404b0a2c0c59bec5e83ad2be42019845acc7e59290159021d585352689cc$订阅源
CCTV-13,http://www.freetv.top/migu/608807423.m3u8?migutoken=d8e7d5104925c13570533f5db2f808b4613be4d2901d3d406a67fca92ee219bc3692dff97d63d38123fde519465b77404b0a2c0c59bec5e83ad2be42019845acc7e59290159021d585352689cc$订阅源
CCTV-13,https://jzb.wwkejishe.top/?id=591$订阅源
CCTV-14,http://www.freetv.top/migu/624878440.m3u8?migutoken=303d044cf07163e1e2e8e4ecc8b6696ed836301cf573b626d3c00ec50cd362cc5e6a93afc2fd102cb883155554597d14eaa697edc9b0a30e56fc0115f81d8fbb8b87129e5bedad7d2173178f03$订阅源
CCTV-15,http://www.freetv.top/migu/673168223.m3u8?migutoken=81268e3d4f684bb5f7e3f9be9524d419c9c649ab0f8f8d3416c7e7535e0b219459b129f4be677a98cf66de546e2d7a78ebe50703d98eb67703adee341cd46d7d39c14bfc907da3a20534d07396$订阅源
CCTV-15,https://jzb.wwkejishe.top/?id=593$订阅源
CCTV-17,http://www.freetv.top/migu/673168256.m3u8?migutoken=698e0ff1ba47e7b3e38326199e2ee0a1b7bd0b0dd192935d111a196fb0a283c3070537cce6951301b2cc3e6f7de31ffdb9b7c4095d6c008d8333e21e5070375ca86124640133c9fa4c6ffa847f$订阅源
CCTV-17,https://jzb.wwkejishe.top/?id=594$订阅源

📡卫视频道,#genre#
湖北卫视,https://jzb.wwkejishe.top/?id=604$订阅源
安徽卫视,https://jzb.wwkejishe.top/?id=612$订阅源
重庆卫视,https://jzb.wwkejishe.top/?id=607$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东方卫视,https://jzb.wwkejishe.top/?id=597$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
贵州卫视,https://jzb.wwkejishe.top/?id=619$订阅源
海南卫视,https://jzb.wwkejishe.top/?id=600$订阅源
河北卫视,https://jzb.wwkejishe.top/?id=615$订阅源
青海卫视,https://jzb.wwkejishe.top/?id=605$订阅源
山西卫视,https://jzb.wwkejishe.top/?id=624$订阅源
陕西卫视,https://jzb.wwkejishe.top/?id=603$订阅源
天津卫视,https://jzb.wwkejishe.top/?id=611$订阅源
新疆卫视,https://jzb.wwkejishe.top/?id=623$订阅源
